region,country,language,language_code,population
Anglophone West Africa,Nigeria,Nggwahyi,ngx,"2,000"
Anglophone West Africa,Nigeria,Rom,tdk,"2,000"
Anglophone West Africa,Nigeria,Aduge,adu,"1,900"
Anglophone West Africa,Nigeria,Wãpha,juw,"1,610"
Anglophone West Africa,Nigeria,Horom,hoe,"1,500"
Anglophone West Africa,Nigeria,Dungu,dbv,"1,100"
Anglophone West Africa,Nigeria,Kofa,kso,"1,100"
Anglophone West Africa,Nigeria,Abon,abo,"1,000"
Anglophone West Africa,Nigeria,Ambo,amb,"1,000"
Anglophone West Africa,Nigeria,Bukwen,buz,"1,000"
Anglophone West Africa,Nigeria,Buru,bqw,"1,000"
Anglophone West Africa,Nigeria,Fam,fam,"1,000"
Anglophone West Africa,Nigeria,Fungwa,ula,"1,000"
Anglophone West Africa,Nigeria,Mashi,jms,"1,000"
Anglophone West Africa,Nigeria,Mundat,mmf,"1,000"
Anglophone West Africa,Nigeria,Shuwa-Zamani,ksa,"1,000"
Anglophone West Africa,Nigeria,Tsucuba,cbq,"1,000"
Anglophone West Africa,Nigeria,Gwa,gwb,980
Anglophone West Africa,Nigeria,Ju,juu,900
Anglophone West Africa,Nigeria,Duhwa,kbz,800
Anglophone West Africa,Nigeria,Jakattoe,jrt,500
Anglophone West Africa,Nigeria,Vono,kch,500
Anglophone West Africa,Nigeria,Ndunda,nuh,350
Anglophone West Africa,Nigeria,Àhàn,ahn,300
Anglophone West Africa,Nigeria,Doko-Uyanga,uya,200
Anglophone West Africa,Nigeria,Kapya,klo,200
Anglophone West Africa,Nigeria,Beele,bxq,120
Anglophone West Africa,Nigeria,Mangas,zns,100
Anglophone West Africa,Nigeria,Mvanip,mcj,100
Anglophone West Africa,Nigeria,Ukwa,ukq,100
Anglophone West Africa,Nigeria,Zangwal,zah,100
Latin America,Brazil,Waimiri-Atroarí,atr,"2,010"
Latin America,Brazil,Hupdë,jup,"1,740"
Latin America,Brazil,Cinta Larga,cin,650
Latin America,Brazil,Yawanawa,ywn,520
Latin America,Brazil,Enawené-Nawé,unk,450
Latin America,Brazil,Yaroamë,yro,430
Latin America,Brazil,Panará,kre,380
Latin America,Brazil,Araweté,awt,340
Latin America,Brazil,Ikpeng,txi,340
Latin America,Brazil,Matís,mpq,320
Latin America,Brazil,Jurúna,jur,280
Latin America,Brazil,Suruí do Pará,mdz,260
Latin America,Brazil,Mehináku,mmh,200
Latin America,Brazil,Uru-Pa-In,urp,200
Latin America,Brazil,Zo'é,pto,180
Latin America,Brazil,Awetí,awe,170
Latin America,Brazil,Suruahá,swx,140
Latin America,Colombia,Cubeo,ub,"6,250"
Latin America,Colombia,Barí,mot,"5,020"
Latin America,Colombia,Emberá-Baudó,bdc,"5,000"
Latin America,Colombia,"Tunebo, Western",tnb,700
Latin America,Colombia,Macaguán,mbn,300
Latin America,Colombia,"Tunebo, Barro Negro",tbn,300
Latin America,Colombia,Achaua,aca,250
Latin America,Mexico,"Nahuatl, Central",nhn,"40,000"
Latin America,Mexico,"Mazatec, Puebla and Northeastern",pbm,"33,800"
Latin America,Mexico,"Nahuatl, Central Puebla",ncx,"16,000"
Latin America,Mexico,"Totonac, Filomena Mata-Coahuitlán",tlp,"15,100"
Latin America,Mexico,"Chinantec, Tepinapa",cte,"11,800"
Latin America,Mexico,"Zapotec, Petapa",zpe,"8,000"
Latin America,Mexico,"Zapotec, Southeastern Ixtlán",zpd,"6,000"
Latin America,Mexico,"Zapotec, Lachiguiri",zpa,"5,000"
Latin America,Mexico,"Zoque, Chimalapa",zoh,"4,500"
Latin America,Mexico,"Zapotec, Quiavicuzas",zpj,"4,000"
Latin America,Mexico,"Mixtec, Tijaltepec",xtl,"3,250"
Latin America,Mexico,"Zapotec, Santiago Xanica",zpr,"2,500"
Latin America,Mexico,"Mixtec, Huitepec",mxs,"2,400"
Latin America,Mexico,"Amuzgo, Ipalapa",azm,"2,030"
Latin America,Mexico,"Mixtec, Cuyamecalco",xtu,"1,880"
Latin America,Mexico,"Mixtec, Tamazola",vmx,"1,550"
Latin America,Mexico,"Zapotec, San Baltazar Loxicha",zpx,"1,500"
Latin America,Mexico,"Mixtec, Tututepec",mtu,"1,020"
Latin America,Mexico,"Zapotec, Santa Catarina Albarradas",ztn,"1,000"
Latin America,Mexico,"Mixtec, Yutanduchi",mab,960
Latin America,Mexico,"Zapotec, El Alto",zpp,900
Latin America,Mexico,"Zapotec, Ayoquesco",zaf,880
Latin America,Mexico,"Zapotec, Zaniza",zpw,770
Latin America,Mexico,"Mixtec, Soyaltepec",vmq,220
Latin America,Peru,"Quechua, Jauja Wanca",qxw,"25,000"
Latin America,Peru,Shipibo-Conibo,shp,"22,500"
Latin America,Peru,Shawi,cbt,"14,000"
Latin America,Peru,Yanesha',ame,"7,520"
Latin America,Peru,"Quechua, Chachapoyas",quk,"7,000"
Latin America,Peru,Kakataibo-Kashibo,cvr,"2,780"
Latin America,Peru,"Spanish, Charapa",spq,"2,700"
Latin America,Peru,Pisabo,pig,500
Latin America,Peru,Mashco Piro,cuj,200
Other,Afghanistan,Aimaq,aiq,"716,900"
Other,Afghanistan,"Pashai, Southwest",psh,"100,000"
Other,Afghanistan,"Pashai, Northeast",aee,"54,400"
Other,Afghanistan,Gawar-Bati,gwt,"34,270"
Other,Afghanistan,Kamviri,xvi,"20,000"
Other,Afghanistan,Prasuni,prn,"8,000"
Other,Afghanistan,Tregami,trm,"3,500"
Other,Afghanistan,Sanglechi,sgy,"2,200"
Other,Afghanistan,Shumashti,sts,"1,000"
Other,China,"Chinese, Jinyu",cjy,"47,100,000"
Other,China,"Chinese, Huizhou",czh,"5,380,000"
Other,China,"Chinese, Min Zhong",czo,"3,620,000"
Other,China,"Pinghua, Southern",csp,"2,370,000"
Other,China,"Zhuang, Zuojiang",zzj,"1,840,000"
Other,China,"Zhuang, Yongnan",zyn,"1,810,000"
Other,China,"Pinghua, Northern",cnp,"1,760,000"
Other,China,"Zhuang, Guibei",zgb,"1,500,000"
Other,China,"Zhuang, Yang",zyg,"765,000"
Other,China,"Dong, Northern",doc,"463,000"
Other,China,Kim Mun,mji,"374,500"
Other,China,"Zhuang, Liuqian",zlq,"370,000"
Other,China,"Miao, Eastern Qiandong",hmq,"350,000"
Other,China,Waxianghua,wxa,"300,000"
Other,China,"Lolopo, Southern",ysp,"190,000"
Other,China,"Zhuang, Minz",zgm,"173,000"
Other,China,"Nasu, Wumeng",ywu,"150,000"
Other,China,"Zhuang, Qiubei",zqe,"140,000"
Other,China,Biyo,byo,"120,000"
Other,China,Awa,vwa,"98,000"
Other,China,Mulam,mlm,"86,000"
Other,China,"Miao, Northern Guiyang",huj,"84,000"
Other,China,"Qiang, Southern",qxs,"81,300"
Other,China,"Bai, Lama",lay,"80,000"
Other,China,Biao,byk,"80,000"
Other,China,Cun,cuq,"80,000"
Other,China,"Miao, Eastern Xiangxi",muq,"80,000"
Other,China,"Miao, Central Mashan",hmm,"70,000"
Other,China,"Miao, Northern Huishui",hmi,"70,000"
Other,China,"Miao, Southwestern Guiyang",hmg,"70,000"
Other,China,Cao Miao,cov,"63,600"
Other,China,"Miao, Luopohe",hml,"61,000"
Other,China,Dzao Min,bpn,"60,000"
Other,China,"Miao, Southwestern Huishui",hmh,"56,000"
Other,China,Jiamao,jio,"52,300"
Other,China,Lavrung,jiq,"50,000"
Other,China,"Miao, Horned",hrm,"50,000"
Other,China,Narua,nru,"47,000"
Other,China,Biao-Jiao Mien,bje,"43,000"
Other,China,"Miao, Central Huishui",hmc,"40,000"
Other,China,"Lalu, Western",ywl,"38,000"
Other,China,Nisi,yso,"36,000"
Other,China,"Phowa, Hlepho",yhl,"36,000"
Other,China,Ache,yif,"35,000"
Other,China,"Miao, Northern Mashan",hmp,"35,000"
Other,China,E,eee,"30,000"
Other,China,Enu,enu,"30,000"
Other,China,Maonan,mmd,"30,000"
Other,China,Pholo,yip,"30,000"
Other,China,Limi,ylm,"29,000"
Other,China,"Miao, Southern Guiyang",hmy,"28,000"
Other,Iran,Khorasani Turkish,kmz,"916,000"
Other,Iran,Lari,lrl,"116,000"
Other,Iran,Khalaj,klj,"52,800"
Other,Iran,Sangisari,sgr,"36,000"
Other,Iran,Parsi-Dari,prd,"27,000"
Other,Iran,Sorkhei,sqo,"10,000"
Other,Iran,Natanzi,ntz,"7,030"
Other,Iran,Nayini,nyq,"7,030"
Other,Iran,Soi,soj,"7,030"
Other,Iran,Lasgerdi,lsa,"1,000"
Other,Pakistan,"Pashto, Central",pst,"8,490,000"
Other,Pakistan,"Hindko, Southern",hnd,"1,170,000"
Other,Pakistan,"Shina, Kohistani",plk,"401,000"
Other,Pakistan,Waneci,wne,"125,000"
Other,Pakistan,Sindhi Bhil,sbn,"56,500"
Other,Pakistan,Jogi,jog,"50,000"
Other,Pakistan,Bateri,btv,"35,600"
Other,Pakistan,Jadgali,jdg,"25,600"
Other,Pakistan,Goaria,gig,"25,400"
Other,Pakistan,Loarki,lrk,"20,000"
Other,Pakistan,Khetrani,xhe,"18,100"
Other,Pakistan,Dehwari,deh,"16,900"
Other,Pakistan,Lasi,lss,"12,700"
Other,Pakistan,Ghera,ghr,"10,000"
Other,Pakistan,Ormuri,oru,"6,430"
Other,Pakistan,Jandavra,jnd,"5,000"
Other,Pakistan,Kalasha,kls,"5,000"
Other,Pakistan,Vaghri,vgr,"4,240"
Other,Pakistan,Ushojo,ush,"2,790"
